original_title,popularity,vote_average,vote_count,Comedy,TV Movie,Family,Science Fiction,Drama,Romance,Action,War,Mystery,Music,Adventure,Crime,Horror,Animation,History,Fantasy,Western,Thriller,Running time,Budget,Box Office,Actors Box Office %,Director Box Office %,Earnings,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,IMDb score,ROI,successo
The Elephant Man,18.99,8.044,3356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,124,5000000,26000000,0.7222,0.6,21000000,12,3,8.2,4.2,1
Judgment at Nuremberg,20.285,8.039,738,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,186,3000000,10000000,0.6667000000000001,1.0,7000000,8,2,8.3,2.3333333333333335,1
My Name Is Khan,28.253,8.038,1260,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,128,12000000,42400000,1.0,1.0,30400000,0,0,8.0,2.533333333333333,1
The Wolf of Wall Street,107.345,8.035,23277,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,240,100000000,392000000,0.44,0.44439999999999996,292000000,5,0,8.2,2.92,1
Amadeus,53.376,8.034,4065,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,180,18000000,52000000,1.0,0.6667000000000001,34000000,22,13,8.3,1.8888888888888888,1
Room,36.082,8.023,8945,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,118,13000000,36000000,0.6667000000000001,1.0,23000000,8,4,8.3,1.7692307692307692,1
The Sting,102.539,8.023,2501,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,129,5500000,159000000,0.75,1.0,153500000,16,9,8.3,27.90909090909091,1
American Beauty,304.92,8.019,11730,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,15000000,356000000,0.8332999999999999,0.625,341000000,15,11,8.4,22.733333333333334,1
Requiem for a Dream,20.917,8.018,9622,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,102,4500000,7300000,0.44,0.6667000000000001,2800000,1,0,8.4,0.6222222222222222,0
Harry Potter and the Prisoner of Azkaban,136.252,8.017,20929,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,142,130000000,797000000,0.8665999999999999,0.75,667000000,4,0,7.8,5.130769230769231,1
Casino,52.174,8.012,5603,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,178,52000000,116000000,0.6222,0.44439999999999996,64000000,1,1,8.2,1.2307692307692308,1
The Deer Hunter,30.43,8.012,3677,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,183,15000000,1400000,0.6667000000000001,0.0,-13600000,0,0,8.2,-0.9066666666666666,0
Hachi: A Dog's Tale,59.574,8.005,6484,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93,16000000,46000000,0.61,0.5555,30000000,0,0,8.1,1.875,1
The Imitation Game,59.845,8.004,16598,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,114,14000000,230000000,1.0,0.5,216000000,14,4,8.1,15.428571428571429,1
Barry Lyndon,32.282,8.005,2698,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,184,11000000,31000000,0.6667000000000001,1.0,20000000,12,4,8.1,1.8181818181818181,1
Lawrence of Arabia,124.541,8.002,2865,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,227,15000000,70000000,0.6667000000000001,0.75,55000000,15,8,8.4,3.6666666666666665,1
Flipped,56.515,7.999,2845,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,90,14000000,41000000,0.3333,0.4545,27000000,0,0,7.7,1.9285714285714286,1
To Kill a Mockingbird,35.893,7.999,2502,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129,2000000,151000000,0.9047,1.0,149000000,11,4,8.4,74.5,1
Gran Torino,44.326,7.992,10414,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,116,33000000,270000000,0.9333,0.75,237000000,2,0,8.2,7.181818181818182,1
Catch Me If You Can,68.008,7.976,15175,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,141,52000000,352000000,0.5832999999999999,0.846,300000000,2,1,8.0,5.769230769230769,1
Toy Story,298.679,7.971,17891,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,74,30000000,373000000,0.9167000000000001,1.0,343000000,4,1,8.3,11.433333333333334,1
Kill Bill: Vol. 1,51.747,7.97,16890,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,111,30000000,180000000,0.6667000000000001,1.0,150000000,1,0,8.1,5.0,1
Trainspotting,52.92,7.968,9382,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,94,3500000,72000000,0.5277000000000001,0.5555,68500000,1,0,8.2,19.571428571428573,1
Up,179.205,7.957,19657,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,96,175000000,731000000,0.6667000000000001,1.0,556000000,6,2,8.3,3.177142857142857,1
Million Dollar Baby,74.475,7.956,9270,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132,30000000,216000000,0.9333,0.75,186000000,7,4,8.1,6.2,1
Gone with the Wind,45.239,7.954,3901,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,226,3977000,400000000,0.8332999999999999,0.6667000000000001,396023000,13,8,8.2,99.57832537088258,1
The Sixth Sense,134.032,7.954,11297,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,107,40000000,673000000,0.5277000000000001,0.77,633000000,6,1,8.1,15.825,1
The Great Escape,41.085,7.948,2441,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,172,4000000,11000000,1.0,1.0,7000000,1,0,8.3,1.75,1
Jurassic Park,56.612,7.946,15833,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,127,63000000,1040000000,1.0,0.846,977000000,3,3,8.1,15.507936507936508,1
12 Years a Slave,39.562,7.943,10997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,134,20000000,187000000,0.6667000000000001,1.0,167000000,15,9,8.1,8.35,1
